datetime,load_mw,month,year
2024-01-05T03:00:00.000-0500,1735.009,1,2024
2024-01-05T04:00:00.000-0500,1744.016,1,2024
2024-01-05T05:00:00.000-0500,1790.664,1,2024
2024-01-05T06:00:00.000-0500,1920.224,1,2024
2024-01-05T07:00:00.000-0500,2114.817,1,2024
2024-01-05T08:00:00.000-0500,2234.421,1,2024
2024-01-05T09:00:00.000-0500,2199.093,1,2024
2024-01-05T10:00:00.000-0500,2094.888,1,2024
2024-01-05T11:00:00.000-0500,2016.835,1,2024
2024-01-05T12:00:00.000-0500,1945.316,1,2024
2024-01-05T13:00:00.000-0500,1945.457,1,2024
2024-01-05T14:00:00.000-0500,1999.99,1,2024
2024-01-05T15:00:00.000-0500,2063.084,1,2024
2024-01-05T16:00:00.000-0500,2140.004,1,2024
2024-01-05T17:00:00.000-0500,2277.082,1,2024
2024-01-05T18:00:00.000-0500,2349.352,1,2024
2024-01-05T19:00:00.000-0500,2307.22,1,2024
2024-01-05T20:00:00.000-0500,2244.879,1,2024
2024-01-05T21:00:00.000-0500,2165.002,1,2024
2024-01-05T22:00:00.000-0500,2076.678,1,2024
2024-01-05T23:00:00.000-0500,1953.348,1,2024
2024-01-06T00:00:00.000-0500,1839.206,1,2024
2024-01-06T01:00:00.000-0500,1758.434,1,2024
2024-01-06T02:00:00.000-0500,1697.943,1,2024
2024-01-06T03:00:00.000-0500,1667.291,1,2024
2024-01-06T04:00:00.000-0500,1651.554,1,2024
2024-01-06T05:00:00.000-0500,1663.782,1,2024
2024-01-06T06:00:00.000-0500,1705.912,1,2024
2024-01-06T07:00:00.000-0500,1773.254,1,2024
2024-01-06T08:00:00.000-0500,1852.65,1,2024
2024-01-06T09:00:00.000-0500,1912.432,1,2024
2024-01-06T10:00:00.000-0500,1936.431,1,2024
2024-01-06T11:00:00.000-0500,1942.67,1,2024
2024-01-06T12:00:00.000-0500,1973.272,1,2024
2024-01-06T13:00:00.000-0500,2010.444,1,2024
2024-01-06T14:00:00.000-0500,1996.525,1,2024
2024-01-06T15:00:00.000-0500,1950.307,1,2024
2024-01-06T16:00:00.000-0500,2035.756,1,2024
2024-01-06T17:00:00.000-0500,2139.643,1,2024
2024-01-06T18:00:00.000-0500,2212.423,1,2024
2024-01-06T19:00:00.000-0500,2171.108,1,2024
2024-01-06T20:00:00.000-0500,2106.836,1,2024
2024-01-06T21:00:00.000-0500,2042.924,1,2024
2024-01-06T22:00:00.000-0500,1953.113,1,2024
2024-01-06T23:00:00.000-0500,1846.117,1,2024
2024-01-07T00:00:00.000-0500,1742.365,1,2024
2024-01-07T01:00:00.000-0500,1672.248,1,2024
2024-01-07T02:00:00.000-0500,1609.312,1,2024
2024-01-07T03:00:00.000-0500,1577.764,1,2024
2024-01-07T04:00:00.000-0500,1563.082,1,2024
2024-01-07T05:00:00.000-0500,1571.588,1,2024
2024-01-07T06:00:00.000-0500,1607.533,1,2024
2024-01-07T07:00:00.000-0500,1659.369,1,2024
2024-01-07T08:00:00.000-0500,1739.374,1,2024
2024-01-07T09:00:00.000-0500,1836.878,1,2024
2024-01-07T10:00:00.000-0500,1943.87,1,2024
2024-01-07T11:00:00.000-0500,2042.904,1,2024
2024-01-07T12:00:00.000-0500,2136.337,1,2024
2024-01-07T13:00:00.000-0500,2195.643,1,2024
